predictions_unconstrained,count
memory B cell,9896
B cell,7007
"CD4-positive, alpha-beta T cell",6521
T cell,2025
leukocyte,1767
"CD8-positive, alpha-beta T cell",1460
IgM plasma cell,1365
macrophage,1010
plasmacytoid dendritic cell,913
follicular dendritic cell,891
endothelial cell,691
plasma cell,690
classical monocyte,523
alpha-beta T cell,434
regulatory T cell,420
native cell,342
fibroblast,303
mature NK T cell,298
lymphocyte,247
myeloid cell,245
pancreatic acinar cell,243
dendritic cell,242
basal cell of prostate epithelium,176
conventional dendritic cell,162
capillary endothelial cell,160
neutrophil,159
IgA plasma cell,139
innate lymphoid cell,94
hematopoietic stem cell,61
epithelial cell of proximal tubule,56
"CD4-positive, alpha-beta memory T cell",42
inflammatory macrophage,34
myofibroblast cell,26
mesenchymal cell,25
monocyte,23
stromal cell of ovary,23
cardiac muscle cell,18
mast cell,17
pericyte,15
germinal center B cell,14
IgG plasma cell,14
natural killer cell,13
progenitor cell,11
endothelial cell of lymphatic vessel,10
stromal cell,10
erythroid lineage cell,8
secretory cell,8
smooth muscle cell,5
hematopoietic precursor cell,3
type II pneumocyte,3
kidney loop of Henle thick ascending limb epithelial cell,3
periportal region hepatocyte,3
basal cell,2
kidney interstitial fibroblast,2
"naive thymus-derived CD4-positive, alpha-beta T cell",2
common lymphoid progenitor,1
kidney distal convoluted tubule epithelial cell,1
blood vessel endothelial cell,1
"CD8-positive, alpha-beta memory T cell",1
retinal rod cell,1
enterocyte,1
tracheal goblet cell,1
luminal epithelial cell of mammary gland,1
naive B cell,1
respiratory basal cell,1
